Entity,Code,Day,Temperature anomaly
Brazil,BRA,1940-01-15,-1.0935955
Brazil,BRA,1940-02-15,-1.0189075
Brazil,BRA,1940-03-15,-0.9219456
Brazil,BRA,1940-04-15,-1.0871754
Brazil,BRA,1940-05-15,-0.6568489
Brazil,BRA,1940-06-15,-0.5242386
Brazil,BRA,1940-07-15,-0.08502388
Brazil,BRA,1940-08-15,-0.5076542
Brazil,BRA,1940-09-15,-1.2483788
Brazil,BRA,1940-10-15,-1.4357033
Brazil,BRA,1940-11-15,-0.758131
Brazil,BRA,1940-12-15,0.14595795
Brazil,BRA,1941-01-15,-0.22901917
Brazil,BRA,1941-02-15,-0.39730453
Brazil,BRA,1941-03-15,-0.6849556
Brazil,BRA,1941-04-15,-0.5794754
Brazil,BRA,1941-05-15,-0.40340805
Brazil,BRA,1941-06-15,-0.6590214
Brazil,BRA,1941-07-15,-0.60588837
Brazil,BRA,1941-08-15,-0.137537
Brazil,BRA,1941-09-15,-1.0804958
Brazil,BRA,1941-10-15,0.1763134
Brazil,BRA,1941-11-15,-0.09881592
Brazil,BRA,1941-12-15,-0.20172882
Brazil,BRA,1942-01-15,-0.4531746
Brazil,BRA,1942-02-15,-0.63463783
Brazil,BRA,1942-03-15,-0.6042042
Brazil,BRA,1942-04-15,-0.8691292
Brazil,BRA,1942-05-15,-0.8695812
Brazil,BRA,1942-06-15,-1.2471237
Brazil,BRA,1942-07-15,-1.2523155
Brazil,BRA,1942-08-15,-1.3520241
Brazil,BRA,1942-09-15,-0.48188972
Brazil,BRA,1942-10-15,-0.28163147
Brazil,BRA,1942-11-15,0.76067924
Brazil,BRA,1942-12-15,-1.3631306
Brazil,BRA,1943-01-15,-1.2206802
Brazil,BRA,1943-02-15,-1.2547646
Brazil,BRA,1943-03-15,-1.6054897
Brazil,BRA,1943-04-15,-2.168518
Brazil,BRA,1943-05-15,-1.4741001
Brazil,BRA,1943-06-15,-1.5313339
Brazil,BRA,1943-07-15,-1.3351364
Brazil,BRA,1943-08-15,-1.4743729
Brazil,BRA,1943-09-15,-1.3622646
Brazil,BRA,1943-10-15,-1.1635342
Brazil,BRA,1943-11-15,-1.3590298
Brazil,BRA,1943-12-15,-1.5575695
Brazil,BRA,1944-01-15,-0.99803734
Brazil,BRA,1944-02-15,-1.4147587
Brazil,BRA,1944-03-15,-1.33498
Brazil,BRA,1944-04-15,-1.6093807
Brazil,BRA,1944-05-15,-0.7133064
Brazil,BRA,1944-06-15,-0.35635948
Brazil,BRA,1944-07-15,-0.052286148
Brazil,BRA,1944-08-15,0.3459816
Brazil,BRA,1944-09-15,0.15030289
Brazil,BRA,1944-10-15,-0.34494972
Brazil,BRA,1944-11-15,-0.73383904
Brazil,BRA,1944-12-15,-1.2929592
Brazil,BRA,1945-01-15,-1.440855
Brazil,BRA,1945-02-15,-1.4950619
Brazil,BRA,1945-03-15,-1.3219528
Brazil,BRA,1945-04-15,-1.3457737
Brazil,BRA,1945-05-15,-1.6535568
Brazil,BRA,1945-06-15,-1.0891857
Brazil,BRA,1945-07-15,-0.5543461
Brazil,BRA,1945-08-15,0.6326084
Brazil,BRA,1945-09-15,0.34485817
Brazil,BRA,1945-10-15,-0.49154854
Brazil,BRA,1945-11-15,-0.52368355
Brazil,BRA,1945-12-15,-1.2840557
Brazil,BRA,1946-01-15,-0.9317589
Brazil,BRA,1946-02-15,-0.2878456
Brazil,BRA,1946-03-15,-0.7594547
Brazil,BRA,1946-04-15,-1.2490921
Brazil,BRA,1946-05-15,-0.8947296
Brazil,BRA,1946-06-15,-0.8015175
Brazil,BRA,1946-07-15,-0.7217941
Brazil,BRA,1946-08-15,-0.32374
Brazil,BRA,1946-09-15,-0.42108917
Brazil,BRA,1946-10-15,-0.8105736
Brazil,BRA,1946-11-15,-0.6555767
Brazil,BRA,1946-12-15,-0.5017624
Brazil,BRA,1947-01-15,-0.5761967
Brazil,BRA,1947-02-15,-0.6242943
Brazil,BRA,1947-03-15,-0.9835777
Brazil,BRA,1947-04-15,-1.0623646
Brazil,BRA,1947-05-15,-0.88757706
Brazil,BRA,1947-06-15,-0.23011589
Brazil,BRA,1947-07-15,-0.7515297
Brazil,BRA,1947-08-15,-0.9381943
Brazil,BRA,1947-09-15,-1.5440388
Brazil,BRA,1947-10-15,-1.6188984
Brazil,BRA,1947-11-15,-1.7549343
Brazil,BRA,1947-12-15,-1.4476261
Brazil,BRA,1948-01-15,-0.7416897
Brazil,BRA,1948-02-15,-0.7093334
Brazil,BRA,1948-03-15,-1.2980747
Brazil,BRA,1948-04-15,-1.079998
Brazil,BRA,1948-05-15,-0.8046112
Brazil,BRA,1948-06-15,-0.87696266
Brazil,BRA,1948-07-15,-0.05636978
Brazil,BRA,1948-08-15,-0.38093948
Brazil,BRA,1948-09-15,-0.069978714
Brazil,BRA,1948-10-15,-0.97512245
Brazil,BRA,1948-11-15,-0.13794327
Brazil,BRA,1948-12-15,-0.33983612
Brazil,BRA,1949-01-15,-0.31666183
Brazil,BRA,1949-02-15,-0.85946274
Brazil,BRA,1949-03-15,-0.45718384
Brazil,BRA,1949-04-15,-1.2409611
Brazil,BRA,1949-05-15,-1.3900661
Brazil,BRA,1949-06-15,-0.6148262
Brazil,BRA,1949-07-15,-0.7365284
Brazil,BRA,1949-08-15,-0.7261143
Brazil,BRA,1949-09-15,-0.45754242
Brazil,BRA,1949-10-15,-0.6416321
Brazil,BRA,1949-11-15,-1.3597221
Brazil,BRA,1949-12-15,-0.7380657
Brazil,BRA,1950-01-15,-0.80918694
Brazil,BRA,1950-02-15,-0.785944
Brazil,BRA,1950-03-15,-1.4089317
Brazil,BRA,1950-04-15,-1.342741
Brazil,BRA,1950-05-15,-0.9179821
Brazil,BRA,1950-06-15,-0.609148
Brazil,BRA,1950-07-15,-0.60217094
Brazil,BRA,1950-08-15,-0.28117943
Brazil,BRA,1950-09-15,0.055639267
Brazil,BRA,1950-10-15,-0.58987045
Brazil,BRA,1950-11-15,-0.621212
Brazil,BRA,1950-12-15,-0.57660675
Brazil,BRA,1951-01-15,-0.99863625
Brazil,BRA,1951-02-15,-0.864357
Brazil,BRA,1951-03-15,-0.74064255
Brazil,BRA,1951-04-15,-1.7790127
Brazil,BRA,1951-05-15,-1.1095829
Brazil,BRA,1951-06-15,-0.9800358
Brazil,BRA,1951-07-15,-0.3925171
Brazil,BRA,1951-08-15,-0.39735413
Brazil,BRA,1951-09-15,0.19614601
Brazil,BRA,1951-10-15,-0.41047478
Brazil,BRA,1951-11-15,0.62519073
Brazil,BRA,1951-12-15,-0.5282326
Brazil,BRA,1952-01-15,-0.68053627
Brazil,BRA,1952-02-15,-0.58321
Brazil,BRA,1952-03-15,-0.87083054
Brazil,BRA,1952-04-15,-1.4539089
Brazil,BRA,1952-05-15,-1.0576916
Brazil,BRA,1952-06-15,-0.62690735
Brazil,BRA,1952-07-15,-0.25883865
Brazil,BRA,1952-08-15,-0.2691002
Brazil,BRA,1952-09-15,-0.401783
Brazil,BRA,1952-10-15,-0.17271423
Brazil,BRA,1952-11-15,-1.0347271
Brazil,BRA,1952-12-15,-1.035593
Brazil,BRA,1953-01-15,-0.764616
Brazil,BRA,1953-02-15,-0.85339165
Brazil,BRA,1953-03-15,-0.81978416
Brazil,BRA,1953-04-15,-1.0379772
Brazil,BRA,1953-05-15,-0.4625759
Brazil,BRA,1953-06-15,-0.096372604
Brazil,BRA,1953-07-15,-0.39533806
Brazil,BRA,1953-08-15,0.1862793
Brazil,BRA,1953-09-15,-0.38998795
Brazil,BRA,1953-10-15,-0.6756191
Brazil,BRA,1953-11-15,-0.56168175
Brazil,BRA,1953-12-15,-0.81808853
Brazil,BRA,1954-01-15,-0.47499657
Brazil,BRA,1954-02-15,-0.92531013
Brazil,BRA,1954-03-15,-0.9799137
Brazil,BRA,1954-04-15,-1.2703247
Brazil,BRA,1954-05-15,-0.7930126
Brazil,BRA,1954-06-15,-0.6332741
Brazil,BRA,1954-07-15,-0.46727562
Brazil,BRA,1954-08-15,-0.43759727
Brazil,BRA,1954-09-15,0.28248405
Brazil,BRA,1954-10-15,-0.39437675
Brazil,BRA,1954-11-15,-0.87610626
Brazil,BRA,1954-12-15,-0.8111191
Brazil,BRA,1955-01-15,-0.9053726
Brazil,BRA,1955-02-15,-0.65187645
Brazil,BRA,1955-03-15,-0.7595787
Brazil,BRA,1955-04-15,-1.2723045
Brazil,BRA,1955-05-15,-0.9839344
Brazil,BRA,1955-06-15,-0.39528656
Brazil,BRA,1955-07-15,-0.77459335
Brazil,BRA,1955-08-15,-0.50045586
